,VR1:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR2:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR3:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR4:VRF Heat Pump Condenser Inlet Temperature [C](Hourly)
2013-10-28 04:00:00,25.0583333333333,25.0583333333333,25.0583333333333,25.0583333333333
2013-10-28 05:00:00,24.925,24.925,24.925,24.925
2013-10-28 06:00:00,24.858333333333302,24.858333333333302,24.858333333333302,24.858333333333302
2013-10-28 07:00:00,24.841666666666697,24.841666666666697,24.841666666666697,24.841666666666697
2013-10-28 08:00:00,25.4416666666667,25.4416666666667,25.4416666666667,25.4416666666667
2013-10-28 09:00:00,26.6,26.6,26.6,26.6
2013-10-28 10:00:00,27.7416666666667,27.7416666666667,27.7416666666667,27.7416666666667
2013-10-28 11:00:00,28.608333333333302,28.608333333333302,28.608333333333302,28.608333333333302
2013-10-28 12:00:00,29.25,29.25,29.25,29.25
2013-10-28 13:00:00,29.266666666666698,29.266666666666698,29.266666666666698,29.266666666666698
2013-10-28 14:00:00,29.0416666666667,29.0416666666667,29.0416666666667,29.0416666666667
2013-10-28 15:00:00,29.2916666666667,29.2916666666667,29.2916666666667,29.2916666666667
2013-10-28 16:00:00,29.091666666666697,29.091666666666697,29.091666666666697,29.091666666666697
2013-10-28 17:00:00,28.6833333333333,28.6833333333333,28.6833333333333,28.6833333333333
2013-10-28 18:00:00,28.1916666666667,28.1916666666667,28.1916666666667,28.1916666666667
2013-10-28 19:00:00,27.6666666666667,27.6666666666667,27.6666666666667,27.6666666666667
2013-10-28 20:00:00,27.3833333333333,27.3833333333333,27.3833333333333,27.3833333333333
2013-10-28 21:00:00,26.95,26.95,26.95,26.95
2013-10-28 22:00:00,26.5833333333333,26.5833333333333,26.5833333333333,26.5833333333333
2013-10-28 23:00:00,26.3833333333333,26.3833333333333,26.3833333333333,26.3833333333333
2013-10-29 00:00:00,26.4166666666667,26.4166666666667,26.4166666666667,26.4166666666667
