,VR1:VRF Heat Pump Cooling COP [](Hourly),VR2:VRF Heat Pump Cooling COP [](Hourly),VR3:VRF Heat Pump Cooling COP [](Hourly),VR4:VRF Heat Pump Cooling COP [](Hourly),VR5:VRF Heat Pump Cooling COP [](Hourly)
2013-06-25 14:00:00,3.82323592629431,3.1700635902589798,3.8938770852812405,4.91425480759265,3.7066077058431204
2013-06-25 15:00:00,3.73222572776694,3.08437928026585,3.8435018719918994,4.895776441570639,3.56795059429214
2013-06-25 16:00:00,3.4897849980475097,4.01864682515411,3.68312738784903,4.81233337536985,4.14963151251819
2013-06-25 17:00:00,4.548573143137889,3.3525377575842796,3.3171857948301695,4.5818328308048795,3.95592527723361
2013-06-25 18:00:00,3.5299737728535896,2.92032954989465,4.07611687833682,3.6922318237481404,3.2296062548198803
2013-06-25 19:00:00,0.0,0.0,0.0,3.8689257407417403,0.0
2013-06-25 20:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-25 21:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-25 22:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-25 23:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-26 00:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-26 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-26 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-26 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-26 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-26 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-26 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-26 07:00:00,3.31664303240103,3.0086688400067003,3.07396914943635,3.43844843324652,3.0591760433309196
2013-06-26 08:00:00,4.78798426480926,4.13672658121913,4.611458912161111,4.50915039456187,4.357713006212
2013-06-26 09:00:00,4.6038910850763495,4.34265805940148,4.76153453050963,4.77180364097636,4.88973226472309
2013-06-26 10:00:00,5.15883345427933,4.75633846607716,4.81392962146046,5.226988459619731,5.2760256908836904
2013-06-26 11:00:00,5.1591705688967,4.73622464263884,4.69131213998318,5.1101474000829405,5.137950026451151
2013-06-26 12:00:00,5.097859172569151,4.63183209299566,4.55955905113458,4.99543204558651,5.02877856859841
2013-06-26 13:00:00,4.917413314938731,4.44939905062959,4.5529431189704805,4.90189585831345,4.94721277755636
2013-06-26 14:00:00,5.03744926982136,4.57240131246616,4.4003288609177105,4.8463832459177,4.91985078197054
2013-06-26 15:00:00,5.07098057100825,4.6115212013319296,4.50116237377115,4.92659719824231,5.01126917230493
2013-06-26 16:00:00,5.09311502590692,4.66453016593715,4.662056347818191,5.06694508806419,5.13604475282973
2013-06-26 17:00:00,4.954405754782389,4.58124443911147,4.75096317333726,5.09216160929347,5.12117642982765
2013-06-26 18:00:00,3.7697389485412,4.11009112837166,3.87647999267197,4.79171865282855,4.26865507596658
2013-06-26 19:00:00,3.8612219377594705,3.03802419923476,4.235863462730549,4.576142485009,3.46632682120239
2013-06-26 20:00:00,3.3227784894114,2.9856037737939602,3.6140345569064904,4.33129217941147,3.25498133339173
2013-06-26 21:00:00,3.3153451144634905,2.9908704027070803,3.1966681297582102,4.71404706305605,3.25206695139487
2013-06-26 22:00:00,3.3529631109971203,3.0289922564797003,3.16526988088151,0.0,3.2920118814113097
2013-06-26 23:00:00,1.4751605439352,1.1872475080471,1.35146835510854,0.0,1.0386600334717901
2013-06-27 00:00:00,3.1852652901094003,2.90125117687798,2.91629233362418,0.0,3.1587563245718395
2013-06-27 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-27 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-27 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-27 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-27 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-27 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-27 07:00:00,4.43192280204687,3.5521758719856,3.40534331702037,3.8915270775199,4.12911733446772
2013-06-27 08:00:00,4.48397028144012,4.35958836597264,4.34675704921375,4.46464703325349,4.50726283451211
2013-06-27 09:00:00,4.2058739349592695,3.83108753422529,3.9869172512877897,4.1740314716600695,4.19130285452645
2013-06-27 10:00:00,4.1569413146451195,3.70742593048748,4.09497488131694,3.93404814683361,3.9885268971688803
2013-06-27 11:00:00,4.825103213344531,4.013078131089681,4.30117425879104,4.514063125753,4.11118129351847
2013-06-27 12:00:00,4.85373661954387,4.35545549451056,4.30634848457027,4.671419002059349,4.72390718347706
2013-06-27 13:00:00,4.69867349891312,4.25877443217794,4.34514123983661,4.66681083116765,4.66017070947468
2013-06-27 14:00:00,4.86457984609388,4.41853133943811,4.18334590160324,4.621618279507571,4.8263873869997305
2013-06-27 15:00:00,4.92667333533403,4.47361979349115,4.22618020657501,4.54333095695942,4.8913879355965
2013-06-27 16:00:00,4.973803733310651,4.537793662004209,4.34839750708459,4.541614626799361,4.982140656841599
2013-06-27 17:00:00,5.08391931347476,4.6084656494217,4.56642129047412,4.95355898233927,5.0986266940639196
2013-06-27 18:00:00,4.1911773976115,3.4283958682125597,4.4457372423312,5.09120492853554,3.69003154258832
2013-06-27 19:00:00,4.20404710578981,3.8682903297716598,3.35752143725585,4.94198052391889,4.22583405338389
2013-06-27 20:00:00,3.3499189977012,3.08631626416682,4.35229577656523,4.68154667077213,3.338864472188
2013-06-27 21:00:00,3.34596395753882,3.0459764025796496,3.54955670773422,4.12264851382544,3.31099114133231
2013-06-27 22:00:00,3.3889153879599303,3.08094987024863,3.34796488967655,0.0,3.3502467992927096
2013-06-27 23:00:00,1.49025738261985,1.2048495624556899,1.3701209051883,0.0,1.31296120552138
2013-06-28 00:00:00,3.2256968745710295,2.93986790033067,2.9605595385740093,0.0,3.20543044741679
2013-06-28 01:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-28 02:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-28 03:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-28 04:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-28 05:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-28 06:00:00,0.0,0.0,0.0,0.0,0.0
2013-06-28 07:00:00,3.4938054331181903,3.14212081555188,3.17322302251878,3.45372960085346,3.3486241457675
2013-06-28 08:00:00,4.7545861245162895,4.62722992776108,4.49493823898154,5.102131680049349,4.2813894479891905
2013-06-28 09:00:00,5.36893755329854,4.764403186387719,4.84097534873615,5.29634272975838,5.32755336405641
2013-06-28 10:00:00,5.1755345930723,4.71296065835475,4.63892469861998,5.0143187033803205,5.0933799753171
2013-06-28 11:00:00,5.101090000185731,4.61962751355018,4.508996156195639,4.93562482264178,4.94009474902087
2013-06-28 12:00:00,5.00925655437267,4.53882898522034,4.36142625913118,4.74324867115099,4.84628796372162
2013-06-28 13:00:00,4.98218511946075,4.5112052192590895,4.49526383441717,4.742000332554009,4.9556995748195
2013-06-28 14:00:00,5.02837302085562,4.56684966376407,4.36109689488495,4.78329427018505,4.8991529420394695
2013-06-28 15:00:00,5.09251682176429,4.62620912621804,4.47228567336323,4.86596036950105,5.00374621740922
2013-06-28 16:00:00,5.132779647331639,4.67838195704319,4.5949735657272,4.97111882977046,5.1086428258029
2013-06-28 17:00:00,5.08675901881234,4.657154050613429,4.69405107347116,5.098436998240009,5.150329814407639
2013-06-28 18:00:00,3.77245336194372,3.3059858864015697,4.17467628271579,5.04013639221975,3.6677764297714703
2013-06-28 19:00:00,4.26759415113263,3.8389725417238503,3.4091621010314195,4.957573841338969,4.25029114351479
2013-06-28 20:00:00,3.3590663641525094,3.1163968655586,3.31183394539557,4.769124391827769,3.38557139187317
2013-06-28 21:00:00,3.3337663497269796,3.0889152185972,4.2001442777607405,4.259555383531779,3.3592783634990298
2013-06-28 22:00:00,3.4354071291011,3.11353501467698,3.58307325048871,0.0,3.38618320579215
2013-06-28 23:00:00,1.3472194446691999,1.2100064130685602,1.3774490813387001,0.0,1.31745299610906
