,COP,PLR,Temp
2013-11-03 07:00:00,2.8962624227104596,0.21666666666666698,19.0416666666667
2013-11-03 08:00:00,3.11556456008915,0.24404761904761899,21.216666666666697
2013-11-03 09:00:00,3.3178600825105202,0.25,23.5583333333333
2013-11-03 10:00:00,3.27112570021253,0.251885808137956,25.4416666666667
2013-11-03 11:00:00,3.67832225770479,0.297388696473947,27.5083333333333
2013-11-03 12:00:00,3.9546079539532597,0.338092613170779,29.0583333333333
2013-11-03 13:00:00,3.64897706591308,0.30833239620761405,29.25
2013-11-03 14:00:00,3.9847436766849906,0.34085739277022803,29.175
2013-11-03 15:00:00,3.85157887164465,0.317898081172332,28.6
2013-11-03 16:00:00,3.72430898568797,0.29689897659307896,27.283333333333303
2013-11-03 17:00:00,4.19613497135601,0.33296272672612104,26.525
2013-11-03 18:00:00,3.06755862679865,0.25,26.05
2013-11-03 19:00:00,3.01383298424206,0.25,25.508333333333397
2013-11-03 20:00:00,3.04436684801088,0.25,24.95
2013-11-03 21:00:00,3.0568048625769704,0.25,24.408333333333303
2013-11-03 22:00:00,3.08586218780923,0.25,23.908333333333303
2013-11-03 23:00:00,0.0,0.0,23.2916666666667
2013-11-04 00:00:00,1.51967451166819,0.125,23.0
2013-11-04 01:00:00,0.0,0.0,22.591666666666697
2013-11-04 02:00:00,0.0,0.0,22.0666666666667
2013-11-04 03:00:00,0.0,0.0,21.9583333333333
2013-11-04 04:00:00,0.0,0.0,22.233333333333302
2013-11-04 05:00:00,0.0,0.0,22.1666666666667
2013-11-04 06:00:00,0.0,0.0,21.7083333333333
2013-11-04 07:00:00,3.1369063206879,0.24583333333333302,21.675
2013-11-04 08:00:00,3.1061340609567303,0.24404761904761899,22.266666666666698
2013-11-04 09:00:00,3.14250354447389,0.25,24.35
2013-11-04 10:00:00,3.14200421366048,0.25,26.591666666666697
2013-11-04 11:00:00,3.03780600191856,0.25,28.175
2013-11-04 12:00:00,3.00759394410459,0.25,29.091666666666697
2013-11-04 13:00:00,3.00062061926767,0.25,29.1833333333333
2013-11-04 14:00:00,2.98088837888817,0.25,29.45
2013-11-04 15:00:00,2.96165867063365,0.25,29.2916666666667
2013-11-04 16:00:00,3.01294973869346,0.25,28.591666666666697
2013-11-04 17:00:00,3.0298078256861203,0.25,27.1916666666667
2013-11-04 18:00:00,3.0973567909437,0.25,25.466666666666697
2013-11-04 19:00:00,3.08790819649608,0.25,24.216666666666697
2013-11-04 20:00:00,0.0,0.0,23.3333333333333
2013-11-04 21:00:00,0.0,0.0,22.4166666666667
2013-11-04 22:00:00,0.0,0.0,21.9416666666667
2013-11-04 23:00:00,0.0,0.0,21.4916666666667
2013-11-05 00:00:00,0.0,0.0,20.908333333333303
2013-11-05 01:00:00,0.0,0.0,20.8166666666667
2013-11-05 02:00:00,0.0,0.0,21.075
2013-11-05 03:00:00,0.0,0.0,20.85
2013-11-05 04:00:00,0.0,0.0,20.425
2013-11-05 05:00:00,0.0,0.0,20.1833333333333
